"LineNo","Dsr.ExNo","Dsr.Temp","Dsr.Hours","f","j","alphaT.34","alphaT.33","alphaT.36","alpha.red.34","alpha.red.33","alpha.red.36","alpha.ox.34","alpha.ox.33","alpha.ox.36","lambda.red.33","lambda.red.36","lambda.ox.33","lambda.ox.36"
1,181112,20,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,181112,31,1.5,0.954954954954955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,181112,31,3.9,0.945945945945946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,181112,31,8,0.882882882882883,0.142857142857143,0.99625556648861,0.998025886365085,0.992896607520249,0.98429467478608,0.991891195102893,0.97050258115013,1.00290050632335,1.00143404817741,1.00533773328143,0.514332304309149,1.89142712894206,0.494775046914607,1.83804282114896
5,181112,31,14.4,0.783783783783784,0.1875,0.996665907130593,0.998228070517413,0.993328282583298,0.985366020264196,0.99243073603121,0.971862846701581,1.00314944877525,1.00155440997671,1.00564451628592,0.515398057714583,1.93599040774819,0.493942854133738,1.78999724071488
6,181112,31,26,0.684684684684685,0.185185185185185,0.998229841977128,0.99901837246001,0.996746489995516,0.985350271636452,0.992426333552834,0.972872370085463,1.00560745993926,1.00279439474664,1.01042195674011,0.515140479935863,1.86354515174078,0.499034183871696,1.85414870818518
7,181112,31,32.4,0.477477477477477,0.166666666666667,0.99945983398928,0.999682495988541,0.998467166729453,0.986166437738133,0.992846313068737,0.973196099427458,1.00697349273993,1.00354642546495,1.01275081346536,0.515385950018427,1.95042408801234,0.50942636262896,1.82323742596822
8,181112,31,1.5,0.873873873873874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,181112,31,3.9,0.954954954954955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,181112,31,8,0.873873873873874,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,181112,31,14.4,0.765765765765766,0.142857142857143,0.997974982489865,0.998904523941162,0.996002654849538,0.985922349538639,0.992735848593689,0.973557439589783,1.00467088968499,1.00233156580087,1.00847221888273,0.514235303428491,1.89018596988984,0.499752029550368,1.81040859133448
12,181112,31,26,0.675675675675676,0.178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,181112,31,32.4,0.387387387387387,0.176470588235294,0.999603114332256,0.999738245818654,0.998874194443192,0.986450127698,0.992975690119281,0.97383670450408,1.00709019903176,1.00358770060137,1.01312630410084,0.516700863581354,1.94331136330339,0.506891440417477,1.84579833467625
14,181112,20,1.5,0.873873873873874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,181112,20,3.9,0.981981981981982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,181112,20,8,0.828828828828829,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,181112,20,14.4,0.801801801801802,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,181112,20,26,0.792792792792793,0.2,0.998332540329732,0.999073110712726,0.996553222382703,0.986894177598497,0.993209238054681,0.974891629290752,1.00495475033203,1.00246798435686,1.00909414469910,0.516501343073461,1.92753744931578,0.498722494546275,1.83166671811978
19,181112,20,32.4,0.63063063063063,0.142857142857143,1.00040015627966,1.000117459889,1.00060809256875,0.986806167751753,0.993162640386765,0.97450629442642,1.00795237212850,1.00398124850135,1.01510909153672,0.516565675631397,1.94436025716561,0.501626701904802,1.89322561028903
20,181112,20,1.5,0.918918918918919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,181112,20,3.9,0.918918918918919,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,181112,20,8,0.9009009009009,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,181112,20,14.4,0.954954954954955,0.166666666666667,0.996092009679517,0.997937825022497,0.99222889251598,0.983909457297065,0.991675557187313,0.969247790320753,1.00297780015656,1.00147736771195,1.00521821114807,0.515324442409145,1.92554157394078,0.496498871846663,1.75041592550851
24,181112,20,26,0.855855855855856,0.25,0.996959247446475,0.998378981867902,0.9939082877184,0.98583344293244,0.99267245200566,0.972801201545404,1.00363473015490,1.00180289978525,1.00657253942220,0.515461044864456,1.93270269153492,0.496473749860306,1.80561763983413
25,181112,20,32.4,0.648648648648649,0.214285714285714,0.998436671123205,0.999127040535039,0.996578879598072,0.985585819303476,0.992537300820274,0.972248798316355,1.00595320709323,1.00298141659462,1.01080968185719,0.515920253546819,1.93838405699818,0.501550419047703,1.81140123993827
26,101011,31,0,0.987730061349693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,101011,31,12.7,0.478527607361963,0.183098591549296,1.00055637888753,NA,NA,0.987194310282174,NA,NA,1.00819889045147,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,101011,31,19.3,0.374233128834356,0.19,1.00201227821876,NA,NA,0.98813303683632,NA,NA,1.00999010987953,NA,NA,NA,NA,NA,NA
31,101011,31,19.3,0.343558282208589,0.173076923076923,1.00242111903807,NA,NA,0.988139251746494,NA,NA,1.01053092307801,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,101011,31,24.7,0.202453987730061,0.190082644628099,1.00567752207876,NA,NA,0.99039196425127,NA,NA,1.01446423102515,NA,NA,NA,NA,NA,NA
